[ 00:08:15.000 -->  00:08:15.220] FO SPEAKER_01
[ 00:08:15.220 -->  00:08:15.322] FP SPEAKER_02
[ 00:08:15.322 -->  00:08:15.526] FQ SPEAKER_01
[ 00:08:15.899 -->  00:08:19.057] FR SPEAKER_01
[ 00:08:18.887 -->  00:08:24.779] FS SPEAKER_03
[ 00:08:21.179 -->  00:08:21.740] FT SPEAKER_00
[ 00:08:21.740 -->  00:08:21.791] FU SPEAKER_01
[ 00:08:22.504 -->  00:08:22.945] FV SPEAKER_01
[ 00:08:24.032 -->  00:08:30.280] FW SPEAKER_00
[ 00:08:24.779 -->  00:08:24.796] FX SPEAKER_02
[ 00:08:29.023 -->  00:08:29.227] FY SPEAKER_02
[ 00:08:30.280 -->  00:08:35.152] FZ SPEAKER_02
[ 00:08:33.964 -->  00:08:38.005] GA SPEAKER_01
[ 00:08:36.697 -->  00:08:36.782] GB SPEAKER_00
[ 00:08:36.782 -->  00:08:36.901] GC SPEAKER_04
[ 00:08:36.901 -->  00:08:37.003] GD SPEAKER_02
[ 00:08:37.003 -->  00:08:37.156] GE SPEAKER_04
[ 00:08:37.156 -->  00:08:38.582] GF SPEAKER_02
[ 00:08:38.005 -->  00:08:38.056] GG SPEAKER_04
[ 00:08:38.056 -->  00:08:39.617] GH SPEAKER_01
[ 00:08:39.057 -->  00:08:44.219] GI SPEAKER_02
[ 00:08:43.285 -->  00:08:51.230] GJ SPEAKER_04
[ 00:08:46.595 -->  00:08:48.005] GK SPEAKER_00
[ 00:08:51.230 -->  00:08:59.006] GL SPEAKER_00
[ 00:08:59.346 -->  00:09:01.468] GM SPEAKER_00
[ 00:09:00.042 -->  00:09:01.400] GN SPEAKER_04
[ 00:09:01.468 -->  00:09:01.943] GO SPEAKER_04
[ 00:09:02.011 -->  00:09:06.103] GP SPEAKER_04
[ 00:09:05.492 -->  00:09:20.127] GQ SPEAKER_02
[ 00:09:20.500 -->  00:09:36.375] GR SPEAKER_02
[ 00:09:33.726 -->  00:09:34.235] GS SPEAKER_04
